ID 名字 股市 板块分类 成立日期 下市时间 全名 地址 主要业务 
000001 平安银行 深市 主板 1991-04-03 NAN 平安银行股份有限公司 广东省深圳市罗湖区深南东路5047号 人民币、外币存贷款;国际、国内结算;票据贴现;外汇买卖;提供担保及信用证服务;提供保管箱服务等。
000002 万科A 深市 主板 1991-01-29 NAN 万科企业股份有限公司 广东省深圳市盐田区大梅沙环梅路33号万科中心 房地产业务及投资零售业务。
000003 PT金田A 深市 主板 1991-07-03 2002-06-14 金田实业(集团)股份有限公司 广东省深圳市罗湖区嘉宾路深华商业大厦19楼1909室 工业(包括但不限于纺织业、电子、建材、化工、家电、五金、珠宝、首饰)生产与经营；房地产开发与经营；进出口贸易；能源、交通运输；综合服务业(包括但不限于酒楼、旅馆、商品零售、咨询服务、财务顾问)。
000004 国农科技 深市 主板 1991-01-14 NAN 深圳中国农大科技股份有限公司 广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室 生物特征识别系统、生物制药的研发与销售、房地产开发和销售。
000005 世纪星源 深市 主板 1990-12-10 NAN 深圳世纪星源股份有限公司 广东省深圳市人民南路发展中心大厦13楼 房地产、酒店式公寓管理、交通运输、商务咨询、软件开发、财经资讯等。
000006 深振业A 深市 主板 1992-04-27 NAN 深圳市振业(集团)股份有限公司 广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层 房地产开发与经营。
000007 全新好 深市 主板 1992-04-13 NAN 深圳市全新好股份有限公司 广东省深圳市福田区华强北路现代之窗大厦A座26楼 投资兴办实业(具体项目另外申报);国内商业、物资供销业(不含专营、专控、专卖商品);自有物业租赁;环保产品的技术开发;信息咨询(不含限制项目);项目投资(不含限制项目);房地产开发;酒店经营等。
000008 神州高铁 深市 主板 1992-05-07 NAN 神州高铁技术股份有限公司 北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层 轨道交通安全检测监测技术、数据采集及分析技术和智能化维护技术的研发与应用。
000009 中国宝安 深市 主板 1991-06-25 NAN 中国宝安集团股份有限公司 广东省深圳市笋岗东路宝安广场A座28-29层 高新技术产业、生物医药业和房地产业的投资。
000010 美丽生态 深市 主板 1995-10-27 NAN 深圳美丽生态股份有限公司 广东省深圳市福田区中心四路1-1号嘉里建设广场第三座3201室 高新技术项目的开发及相关产品的技术服务
000011 深物业A 深市 主板 1992-03-30 NAN 深圳市物业发展(集团)股份有限公司 广东省深圳市人民南路国贸大厦39 42层
000012 南玻A 深市 主板 1992-02-28 NAN 中国南玻集团股份有限公司 广东省深圳市蛇口工业六路一号南玻大厦 平板玻璃、工程玻璃等节能建筑材料
000013 *ST石化A 深市 主板 1992-05-06 2004-09-20 深圳石化工业集团股份有限公司 广东省深圳市深南中路2201号嘉麟豪庭B座1701 自营和代理第二第三类商品出口及省内进口业务；进出口商品的内销；本公司进出口商品的内销；化工新材料、精细化工、生物工程、化纤、塑料加工及相关产品的开发、销售；高新科技产品的开发；投资兴办实业。
000014 沙河股份 深市 主板 1992-06-02 NAN 沙河实业股份有限公司 广东省深圳市南山区白石路2222号沙河世纪楼 房地产开发与销售。
000015 PT中浩A 深市 主板 1992-06-25 2001-10-25 深圳中浩(集团)股份有限公司 广东省深圳市南山区文心三路九号中洲控股中心B座2022 电子产品、通讯设备、家电电器、家俱、音箱、纸张、纸制品、日用化学品、鞋帽服装的购销及其他国内商业、物资供销业(不含专营专卖和专控商品)；从事自己开发建设项目的监理业务。
000016 深康佳A 深市 主板 1992-03-27 NAN 康佳集团股份有限公司 深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层 生产和销售黑白、彩色电视机收录机及音响
000017 深中华A 深市 主板 1992-03-31 NAN 深圳中华自行车(集团)股份有限公司 广东省深圳市笋岗东路3002号万通大厦1201室 为自行车、电动自行车及零配件的生产和销售.
